City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
6,Rikitea,PF,78.44,light rain,-23.1203,-134.9692,People ThankYou
12,Presidencia Roque Saenz Pena,AR,70.66,light rain,-26.7852,-60.4388,Hotel Gualok
17,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
19,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Bujaru,BR,77.02,light rain,-1.515,-48.0447,Hotel & Restaurante Beira Rio
27,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Sinnamary,GF,76.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
49,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
52,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
58,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
61,Hobyo,SO,75.99,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
63,Pandan,PH,75.54,overcast clouds,14.0453,124.1694,Bonifacio Lodge
66,Hilo,US,79.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Diamantino,BR,78.87,broken clouds,-14.4086,-56.4461,Hotel Delta
69,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
72,Luwuk,ID,76.46,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
73,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
76,Urucara,BR,76.44,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
78,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
82,Bacong,PH,76.33,broken clouds,9.2464,123.2956,Sta Monica Beach Club
83,Omboue,GA,77.74,broken clouds,-1.5746,9.2618,Hotel Olako
