City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talnakh,RU,69.4865,88.3972,1.2,96,99,6.58,overcast clouds
1,Deder,ET,9.3167,41.45,55.56,10,2,5.53,clear sky
2,Upernavik,GL,72.7868,-56.1549,-3.08,100,93,9.84,overcast clouds
3,Faya,SA,18.3851,42.4509,57.31,87,32,6.67,scattered clouds
4,Vaini,TO,-21.2,-175.2,75.36,100,100,13.8,light rain
5,Chapais,CA,49.7834,-74.8492,-4.22,92,97,3.49,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,78.44,71,12,7.72,light rain
7,Saint-Augustin,CA,51.226,-58.6502,-0.81,84,100,7.16,overcast clouds
8,Severo-Kurilsk,RU,50.6789,156.125,28.98,94,100,6.17,light snow
9,Dikson,RU,73.5069,80.5464,-4.45,95,100,6.35,overcast clouds
10,Verkh-Usugli,RU,52.7,115.1667,-12.41,95,72,3.6,broken clouds
11,Port Alfred,ZA,-33.5906,26.891,68.54,79,100,6.64,light rain
12,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.66,96,96,7.4,light rain
13,East London,ZA,-33.0153,27.9116,68.83,84,100,8.1,light rain
14,Staryy Nadym,RU,65.6118,72.6842,10.13,96,100,8.34,light snow
15,Ushuaia,AR,-54.8,-68.3,55.02,50,0,14.97,clear sky
16,Nikolskoye,RU,59.7035,30.7861,19.29,92,80,10.76,broken clouds
17,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,18.41,light rain
18,Nicoya,CR,10.1483,-85.452,90.95,41,33,13.8,scattered clouds
19,Carnarvon,AU,-24.8667,113.6333,75.27,73,75,8.05,broken clouds
20,Bujaru,BR,-1.515,-48.0447,77.02,98,100,2.53,light rain
21,Steinbach,DE,50.1667,8.5667,41.05,72,20,20.71,few clouds
22,Tiksi,RU,71.6872,128.8694,-20.42,98,100,7.43,overcast clouds
23,Airai,TL,-8.9266,125.4092,60.4,86,90,1.7,light rain
24,Nishihara,JP,26.1842,127.7558,58.28,68,100,10.36,overcast clouds
25,Klaksvik,FO,62.2266,-6.589,34.72,54,94,36.33,overcast clouds
26,Jamestown,US,42.097,-79.2353,22.32,62,100,3.0,snow
27,Puerto Ayora,EC,-0.7393,-90.3518,82.36,89,82,4.0,broken clouds
28,Cedral,MX,23.8,-100.7333,63.14,49,95,12.41,overcast clouds
29,Kruisfontein,ZA,-34.0033,24.7314,64.89,71,100,6.26,overcast clouds
30,Hobart,AU,-42.8794,147.3294,62.11,84,75,8.05,broken clouds
31,Aitape,PG,-3.1374,142.3475,79.38,83,75,5.23,broken clouds
32,Putina,PE,-15.4667,-69.4333,52.36,58,82,3.24,broken clouds
33,Albany,US,42.6001,-73.9662,23.67,86,100,6.49,light snow
34,Punta Arenas,CL,-53.15,-70.9167,57.22,58,0,9.22,clear sky
35,Nantucket,US,41.2835,-70.0995,39.15,94,100,20.02,light rain
36,Nizhniy Kuranakh,RU,58.8353,125.4869,-5.89,99,100,3.18,light snow
37,Tuatapere,NZ,-46.1333,167.6833,56.82,64,98,2.48,overcast clouds
38,Jumla,NP,29.2747,82.1838,19.26,90,97,6.51,overcast clouds
39,Pavlohrad,UA,48.5167,35.8667,25.75,96,89,8.03,overcast clouds
40,Oranjemund,NA,-28.55,16.4333,63.88,85,5,13.91,clear sky
41,Umea,SE,63.8284,20.2597,33.73,100,100,6.91,mist
42,Sitka,US,57.0531,-135.33,42.69,87,100,16.11,light rain
43,Sinnamary,GF,5.3833,-52.95,76.26,88,100,8.37,overcast clouds
44,Naugachhia,IN,25.4,87.1,54.43,95,88,3.83,overcast clouds
45,Asau,RO,46.4333,26.4,33.4,79,29,5.77,scattered clouds
46,Lebu,CL,-37.6167,-73.65,61.5,79,1,18.21,clear sky
47,Waitati,NZ,-45.75,170.5667,56.8,61,100,6.35,overcast clouds
48,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,13.8,scattered clouds
49,Avarua,CK,-21.2078,-159.775,84.25,74,20,16.11,few clouds
50,Ponta Do Sol,PT,32.6667,-17.1,65.71,67,100,1.21,overcast clouds
51,Agadir,MA,30.4202,-9.5982,64.85,53,99,5.1,overcast clouds
52,Isangel,VU,-19.55,169.2667,77.11,100,100,3.44,light rain
53,Taoudenni,ML,22.6783,-3.9836,68.83,11,77,10.07,broken clouds
54,Rawson,AR,-43.3002,-65.1023,61.36,66,78,24.16,broken clouds
55,Bethel,US,41.3712,-73.414,35.96,87,100,10.36,light rain
56,Pokosnoye,RU,55.5258,101.0536,0.84,99,94,3.06,overcast clouds
57,Olpad,IN,21.3333,72.75,63.34,57,15,1.86,few clouds
58,Kapaa,US,22.0752,-159.319,79.12,70,0,1.99,clear sky
59,Khatanga,RU,71.9667,102.5,-36.74,100,67,3.13,broken clouds
60,Atuona,PF,-9.8,-139.0333,78.76,77,25,17.27,light rain
61,Hobyo,SO,5.3505,48.5268,75.99,70,18,15.41,few clouds
62,Thinadhoo,MV,0.5333,72.9333,81.45,73,100,9.42,overcast clouds
63,Pandan,PH,14.0453,124.1694,75.54,88,100,13.38,overcast clouds
64,Provideniya,RU,64.3833,-173.3,2.05,61,0,14.07,clear sky
65,Bagdarin,RU,54.4333,113.6,-9.33,93,77,4.76,broken clouds
66,Hilo,US,19.7297,-155.09,79.61,79,100,8.05,overcast clouds
67,Diamantino,BR,-14.4086,-56.4461,78.87,81,75,3.71,broken clouds
68,Fatezh,RU,52.0891,35.8632,17.58,100,96,5.32,overcast clouds
69,Touros,BR,-5.1989,-35.4608,81.5,71,15,13.35,few clouds
70,Moussoro,TD,13.6408,16.4901,65.21,17,1,18.01,clear sky
71,Korla,CN,41.7597,86.1469,25.83,45,100,4.56,overcast clouds
72,Luwuk,ID,-0.9516,122.7875,76.46,85,99,3.4,overcast clouds
73,Kahului,US,20.8947,-156.47,83.46,65,0,9.22,clear sky
74,Busselton,AU,-33.65,115.3333,65.08,49,0,3.53,clear sky
75,Guerrero Negro,MX,27.9769,-114.0611,66.9,18,0,5.84,clear sky
76,Urucara,BR,-2.5364,-57.76,76.44,88,100,1.52,overcast clouds
77,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,9.22,broken clouds
78,Hithadhoo,MV,-0.6,73.0833,81.54,74,80,11.81,broken clouds
79,Tasiilaq,GL,65.6145,-37.6368,23.16,68,100,38.79,overcast clouds
80,Colac,AU,-38.3333,143.5833,61.18,70,48,10.8,scattered clouds
81,Thompson,CA,55.7435,-97.8558,-9.24,59,20,8.05,few clouds
82,Bacong,PH,9.2464,123.2956,76.33,88,83,16.87,broken clouds
83,Omboue,GA,-1.5746,9.2618,77.74,83,70,4.56,broken clouds
84,Strezhevoy,RU,60.7333,77.5889,26.58,97,100,9.26,light snow
85,Katsuura,JP,35.1333,140.3,35.71,57,39,18.3,scattered clouds
86,Torbay,CA,47.6666,-52.7314,32.76,96,100,16.11,fog
87,Makat,KZ,47.6469,53.3463,32.13,90,100,9.04,overcast clouds
88,Castro,BR,-24.7911,-50.0119,67.59,94,99,6.42,overcast clouds
89,Xining,CN,36.6167,101.7667,15.6,57,100,2.48,overcast clouds
90,Saint-Philippe,RE,-21.3585,55.7679,80.15,86,100,25.61,moderate rain
91,Cape Town,ZA,-33.9258,18.4232,65.88,55,0,4.0,clear sky
92,Segovia,ES,41.1667,-4.0,46.04,79,100,2.62,overcast clouds
93,Zhezkazgan,KZ,47.8043,67.7144,6.03,81,50,11.5,scattered clouds
94,Almaznyy,RU,48.0448,40.045,30.34,94,99,8.97,overcast clouds
95,Jimma,ET,7.6667,36.8333,66.7,52,88,3.24,overcast clouds
96,Westport,US,41.1415,-73.3579,37.22,95,100,4.0,light rain
97,Butaritari,KI,3.0707,172.7902,82.51,75,19,19.28,light rain
98,Port Augusta,AU,-32.5,137.7667,68.7,35,54,5.28,broken clouds
99,Nemuro,JP,43.3236,145.575,21.88,71,24,13.31,few clouds
100,Yellowknife,CA,62.456,-114.3525,-20.7,75,20,2.3,few clouds
101,Ulladulla,AU,-35.35,150.4667,65.3,70,100,10.16,overcast clouds
102,Ladario,BR,-19.0047,-57.6017,91.69,55,20,6.91,few clouds
103,Praia,CV,14.9215,-23.5087,72.14,64,0,14.97,clear sky
104,Bosanska Kostajnica,HR,45.2159,16.5444,46.38,80,100,4.5,overcast clouds
105,Sheridan,US,44.8333,-106.9173,46.78,34,0,10.36,clear sky
106,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,20,11.95,few clouds
107,Pangnirtung,CA,66.1451,-65.7125,-18.4,69,75,0.0,broken clouds
108,Sobolevo,RU,54.4299,31.8996,-2.4,100,100,4.03,overcast clouds
109,Callaway,US,30.153,-85.5699,53.53,95,100,3.0,moderate rain
110,Aklavik,CA,68.2191,-135.0107,-19.37,68,20,9.22,few clouds
111,Polunochnoye,RU,60.8697,60.4153,3.56,97,100,1.28,overcast clouds
112,Christchurch,NZ,-43.5333,172.6333,56.95,93,100,1.01,light rain
113,Chokurdakh,RU,70.6333,147.9167,-31.23,100,51,2.39,broken clouds
